word,meaning,meaning_vi,phonetics,note,example,type,level
look,to turn your eyes in a particular direction,"nhìn, ngó",/lʊk/,to turn your eyes in a particular direction,Look closely and tell me what you see.,verb,A1
lose,"to no longer have something, or have less of something than you had before, especially as a result of getting older",mất,/luːz/,"to no longer have something, or have less of something than you had before, especially as a result of getting older",He's always losing his car keys.,verb,A1
love,"a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend","tình yêu, tình thương",/lʌv/,"a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend",She has earned the love and respect of many people.,noun,A1
lunch,a meal eaten in the middle of the day,bữa ăn trưa,/lʌntʃ/,a meal eaten in the middle of the day,She's gone to lunch.,noun,A1
machine,a piece of equipment with many parts that work together to do a particular task,"máy, máy móc",/məˈʃiːn/,a piece of equipment with many parts that work together to do a particular task,Machines have replaced human labour in many industries.,noun,A1
magazine,"a type of large thin book with a paper cover that you can buy every week or month, containing articles, photographs, etc., often on a particular topic; a similar collection of articles, etc. that appears regularly online",tạp chí,/ˌmæɡəˈziːn/,"a type of large thin book with a paper cover that you can buy every week or month, containing articles, photographs, etc., often on a particular topic; a similar collection of articles, etc. that appears regularly online",I bought a fashion magazine to get some outfit ideas.,noun,A1
main,being the largest or most important of its kind,"chính, chủ yếu, quan trong nhất",/meɪn/,being the largest or most important of its kind,Be careful crossing the main road.,adjective,A1
make,to create or prepare something by combining materials or putting parts together,"làm, chế tạo",/meɪk/,to create or prepare something by combining materials or putting parts together,I want to make a cake for my friend's birthday.,verb,A1
man,an adult male human,(một người) đàn ông,/mæn/,an adult male human,The man who delivers our mail is always so friendly.,noun,A1
many,"used with plural nouns and verbs, especially in negative sentences or in more formal English, to mean ‘a large number of’",nhiều,/ˈmeni/,"used with plural nouns and verbs, especially in negative sentences or in more formal English, to mean ‘a large number of’",There are many people at the party tonight.,"determiner, pronoun",A1
map,"a drawing or plan of the earth’s surface or part of it, showing countries, towns, rivers, etc.",bản đồ,/mæp/,"a drawing or plan of the earth’s surface or part of it, showing countries, towns, rivers, etc.",I'm using a map to navigate through the city.,noun,A1
march,"the third month of the year, after February and before April",tháng 3,/mɑːtʃ/,"the third month of the year, after February and before April",The next meeting will be in March.,noun,A1
market,an occasion when people buy and sell goods; the open area or building where they meet to do this,chợ,/ˈmɑːkɪt/,an occasion when people buy and sell goods; the open area or building where they meet to do this,I go to the market every morning.,noun,A1
married,having a husband or wife,"có chồng, có vợ, đã kết hôn",/ˈmærid/,having a husband or wife,Smith was married with two children.,adjective,A1
match,a sports event where people or teams compete against each other,"cuộc thi đấu, trận đấu",/mætʃ/,a sports event where people or teams compete against each other,We spent the afternoon at a football match.,noun,A1
maybe,used when you are not certain that something will happen or that something is true or is a correct number,"có lẽ, có thể",/ˈmeɪbi/,used when you are not certain that something will happen or that something is true or is a correct number,"Maybe he'll come, maybe he won't.",adverb,A1
meal,"an occasion when people eat food, especially breakfast, lunch or dinner",bữa ăn,/miːl/,"an occasion when people eat food, especially breakfast, lunch or dinner",Try not to eat between meals.,noun,A1
mean,to have something as a meaning in the same or another language,có nghĩa là,/miːn/,to have something as a meaning in the same or another language,What does this sentence mean?,verb,A1
meaning,"the thing or idea that a sound, word, sign, etc. represents","nghĩa, ý nghĩa",/ˈmiːnɪŋ/,"the thing or idea that a sound, word, sign, etc. represents",What's the meaning of this word?,noun,A1
meat,the soft part of an animal or a bird that can be eaten as food; a particular type of this,thịt,/miːt/,the soft part of an animal or a bird that can be eaten as food; a particular type of this,I don't eat meat because I'm a vegetarian.,noun,A1
meet,to be in the same place as somebody by chance and talk to them,gặp,/miːt/,to be in the same place as somebody by chance and talk to them,Maybe we'll meet again some time.,verb,A1
meeting,an occasion when people come together to discuss or decide something,"cuộc họp, hội nghị",/ˈmiːtɪŋ/,an occasion when people come together to discuss or decide something,A hundred people attended the public meeting.,noun,A1
member,"a person, an animal or a plant that belongs to a particular group",thành viên,/ˈmembə(r)/,"a person, an animal or a plant that belongs to a particular group",I'm a member of the school's debate team.,noun,A1
menu,a list of the food that is available at a restaurant or to be served at a meal,thực đơn,/ˈmenjuː/,a list of the food that is available at a restaurant or to be served at a meal,May we have the menu?,noun,A1
message,"a written or spoken piece of information, etc. that you send to somebody or leave for somebody when you cannot speak to them yourself","thư tín, tin nhắn",/ˈmesɪdʒ/,"a written or spoken piece of information, etc. that you send to somebody or leave for somebody when you cannot speak to them yourself",There were no messages for me at the hotel.,noun,A1
metre,a unit for measuring length; a hundred centimetres,mét,/ˈmiːtə(r)/,a unit for measuring length; a hundred centimetres,The Olympic sprinter ran 100 metres in just 9.58 seconds.,noun,A1
midnight,12 o’clock at night,nửa đêm,/ˈmɪdnaɪt/,12 o’clock at night,She heard the clock strike midnight.,noun,A1
mile,a unit for measuring distance equal to 1609 metres or 1760 yards,dặm,/maɪl/,a unit for measuring distance equal to 1609 metres or 1760 yards,I walked a mile to get to the grocery store.,noun,A1
milk,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans",sữa,/mɪlk/,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans",I always add milk to my coffee to make it creamy.,noun,A1
million,1 000 000,triệu,/ˈmɪljən/,1 000 000,The lottery winner won several million dollars.,number,A1
minute,"each of the 60 parts of an hour, that are equal to 60 seconds",phút,/ˈmɪn.ɪt/,"each of the 60 parts of an hour, that are equal to 60 seconds",It's four minutes to six.,noun,A1
miss,to be or arrive too late for something,"lỡ, bị trễ",/mɪs/,to be or arrive too late for something,If I don't leave now I'll miss my plane.,verb,A1
mistake,"an action or an opinion that is not correct, or that produces a result that you did not want","lỗi, sai lầm, lỗi lầm",/mɪˈsteɪk/,"an action or an opinion that is not correct, or that produces a result that you did not want",It's easy to make a mistake.,noun,A1
model,"a copy of something, usually smaller than the original object","mô hình, mẫu",/ˈmɒdl/,"a copy of something, usually smaller than the original object",The company is launching a new model of smartphones next month.,noun,A1
modern,of the present time or recent times,hiện đại,/ˈmɒdn/,of the present time or recent times,I prefer the modern style of architecture with clean lines and minimal decoration.,adjective,A1
moment,a very short period of time,"chốc, lúc, lát, khoảnh khắc",/ˈməʊmənt/,a very short period of time,"Could you wait a moment, please?",noun,A1
money,"what you earn by working or selling things, and use to buy things","tiền, tiền bạc",/ˈmʌni/,"what you earn by working or selling things, and use to buy things",I need to save more money so that I can buy a new laptop.,noun,A1
month,"any of the twelve periods of time into which the year is divided, for example May or June",tháng,/mʌnθ/,"any of the twelve periods of time into which the year is divided, for example May or June",The months of July and August are the hottest.,noun,A1
more,a larger number or amount of,nhiều hơn,/mɔː(r)/,a larger number or amount of,I need to buy more milk at the grocery store.,"determiner, pronoun",A1
morning,the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch,buổi sáng,/ˈmɔːnɪŋ/,the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch,They left for Spain this morning.,noun,A1
most,the largest in number or amount,nhiều nhất,/məʊst/,the largest in number or amount,Who do you think will get the most votes?,"determiner, pronoun",A1
mother,a female parent of a child or animal; a person who is acting as a mother to a child,"mẹ, má",/ˈmʌðə(r)/,a female parent of a child or animal; a person who is acting as a mother to a child,I want to buy a present for my mother and father.,noun,A1
mountain,"a very high hill, often with rocks near the top",núi,/ˈmaʊntən/,"a very high hill, often with rocks near the top",I'm planning to go hiking in the mountain this weekend.,noun,A1
mouse,a small animal that is covered in fur and has a long thin tail,chuột,/maʊs/,a small animal that is covered in fur and has a long thin tail,The cat chased the mouse around the house.,noun,A1
mouth,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening","miệng, mồm",/maʊθ/,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening",She opened her mouth to say something.,noun,A1
move,"to change position or make somebody/something change position in a way that can be seen, heard or felt","chuyển động, xê dịch",/muːv/,"to change position or make somebody/something change position in a way that can be seen, heard or felt",Don't move - stay perfectly still.,verb,A1
movie,"a series of moving pictures recorded with sound that tells a story, watched at a movie theater or on a television or other device","phim ảnh, điện ảnh",/ˈmuːvi/,"a series of moving pictures recorded with sound that tells a story, watched at a movie theater or on a television or other device",You'll love this movie.,noun,A1
much,"used with uncountable nouns, especially in negative sentences to mean ‘a large amount of something’",nhiều,/mʌtʃ/,"used with uncountable nouns, especially in negative sentences to mean ‘a large amount of something’",I don't have much money with me.,"determiner, pronoun",A1
mum,a mother,mẹ,/mʌm/,a mother,Call your mum!,noun,A1
museum,"a building in which objects of artistic, cultural, historical or scientific interest are kept and shown to the public",nhà bảo tàng,/mjuˈziːəm/,"a building in which objects of artistic, cultural, historical or scientific interest are kept and shown to the public",I go to the museum once a week.,noun,A1
music,sounds that are arranged in a way that is pleasant or exciting to listen to. People sing music or play it on instruments.,"âm nhạc, nhạc",/ˈmjuːzɪk/,sounds that are arranged in a way that is pleasant or exciting to listen to. People sing music or play it on instruments.,I like any kind of pop or dance music.,noun,A1
name,"a word or words that a particular person, animal, place or thing is known by","tên, danh xưng",/neɪm/,"a word or words that a particular person, animal, place or thing is known by",What's your name?,noun,A1
natural,existing in nature; not made or caused by humans,"(thuộc) tự nhiên, (thuộc) thiên nhiên",/ˈnætʃrəl/,existing in nature; not made or caused by humans,I prefer to use natural skincare products.,adjective,A1
near,at a short distance away from somebody/something,gần,/nɪə(r)/,at a short distance away from somebody/something,Do you live near here?,preposition,A1
need,"to require something/somebody because they are essential or very important, not just because you would like to have them","cần, muốn",/niːd/,"to require something/somebody because they are essential or very important, not just because you would like to have them",Do you need any help?,verb,A1
negative,bad or harmful,tiêu cực,/ˈneɡətɪv/,bad or harmful,The crisis had a negative effect on trade.,adjective,A1
neighbour,a person who lives next to you or near you,người hàng xóm; người láng giềng,/ˈneɪbə(r)/,a person who lives next to you or near you,We've had a lot of support from all our friends and neighbours.,noun,A1
never,not at any time; not on any occasion,không bao giờ,/ˈnevə(r)/,not at any time; not on any occasion,You never help me.,adverb,A1
news,new information about something that has happened recently,tin; tin tức,/njuːz/,new information about something that has happened recently,What's the latest news?,noun,A1
newspaper,"a set of large printed sheets of paper, or a website, containing news, articles, advertisements, etc. and published every day or every week; the organization responsible for producing this",tờ báo,/ˈnjuːzpeɪpə(r)/,"a set of large printed sheets of paper, or a website, containing news, articles, advertisements, etc. and published every day or every week; the organization responsible for producing this",I read the newspaper every morning with my coffee.,noun,A1
next,"coming straight after somebody/something in time, order or space",sau; tới; tiếp,/nekst/,"coming straight after somebody/something in time, order or space",The next train to Baltimore is at ten.,adjective,A1
nice,pleasant or attractive,"đẹp, tốt đẹp, dễ chịu",/naɪs/,pleasant or attractive,"The weather is nice today, we should go for a walk.",adjective,A1
night,"the time between one day and the next when it is dark, when people usually sleep","đêm, tối",/naɪt/,"the time between one day and the next when it is dark, when people usually sleep",These animals only come out at night.,noun,A1
nobody,not anyone; no person,"không ai, không người nào",/ˈnəʊbədi/,not anyone; no person,Nobody knew what to say.,pronoun,A1
north,the direction that is on your left when you watch the sun rise; one of the four main points of the compass,phương bắc; hướng bắc; phía bắc,/nɔːθ/,the direction that is on your left when you watch the sun rise; one of the four main points of the compass,Which way is north?,noun,A1
nose,"the part of the face that sticks out above the mouth, used for breathing and smelling things",mũi,/nəʊz/,"the part of the face that sticks out above the mouth, used for breathing and smelling things",She had dark eyes and a long narrow nose.,noun,A1
note,a short piece of writing to help you remember something,"lời ghi chú, lời ghi chép (để cho nhớ)",/nəʊt/,a short piece of writing to help you remember something,Please make a note of the dates.,noun,A1
nothing,not anything; no single thing,không có gì,/ˈnʌθɪŋ/,not anything; no single thing,There was nothing in her bag.,pronoun,A1
number,a word or symbol that represents an amount or a quantity,số,/ˈnʌmbə(r)/,a word or symbol that represents an amount or a quantity,Think of a number and multiply it by two.,noun,A1
nurse,"a person whose job is to take care of sick or injured people, usually in a hospital","y tá, nữ y tá",/nɜːs/,"a person whose job is to take care of sick or injured people, usually in a hospital",My elder sister is a nurse.,noun,A1
object,"a thing that can be seen and touched, but is not alive",đồ vật; vật thể,/ˈɒbdʒɪkt/ /ˈɒbdʒekt/,"a thing that can be seen and touched, but is not alive",The object on the table caught my eye.,noun,A1
off,not connected or functioning,cắt; tắt,/ɒf/,not connected or functioning,The water is off.,adverb,A1
office,"a room, set of rooms or building where people work, usually sitting at desks",văn phòng; phòng,/ˈɒfɪs/,"a room, set of rooms or building where people work, usually sitting at desks",The company is moving to new offices on the other side of town.,noun,A1
often,many times,"thường, hay",/ˈɒfn/ /ˈɒftən/,many times,We often go there.,adverb,A1
once,on one occasion only; one time,một lần,/wʌns/,on one occasion only; one time,I've only been there once.,adverb,A1
onion,"a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and taste.",hành tây,/ˈʌnjən/,"a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and taste.",Chop the onions finely and add them to the pan.,noun,A1
online,available on or done using the internet or other computer network,trực tuyến,/ˌɒnˈlaɪn/,available on or done using the internet or other computer network,Online shopping is both cheap and convenient.,adjective,A1
only,used to say that no other or others of the same group exist or are there,"chỉ có một, duy nhất",/ˈəʊnli/,used to say that no other or others of the same group exist or are there,She's their only daughter.,adjective,A1
open,allowing things or people to go through; not closed or blocked,mở,/ˈəʊpən/,allowing things or people to go through; not closed or blocked,Can you please open the door for me?,verb,A1
opinion,"your feelings or thoughts about somebody/something, rather than a fact",ý kiến; quan điểm,/əˈpɪnjən/,"your feelings or thoughts about somebody/something, rather than a fact",He has very strong political opinions.,noun,A1
opposite,on the other side of a particular area from somebody/something and usually facing them,"trước mặt, đối diện",/ˈɒpəzɪt/,on the other side of a particular area from somebody/something and usually facing them,I could see smoke coming from the windows of the house directly opposite.,adjective,A1
orange,a round citrus fruit with thick skin of a colour between red and yellow and a lot of sweet juice,quả cam,/ˈɒrɪndʒ/,a round citrus fruit with thick skin of a colour between red and yellow and a lot of sweet juice,Orange is my favourite fruit.,noun,A1
order,the way in which people or things are placed or arranged in relation to each other,thứ tự,/ˈɔːdə(r)/,the way in which people or things are placed or arranged in relation to each other,The names are listed in alphabetical order.,noun,A1
other,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about,khác,/ˈʌðə(r)/,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about,Mr Harris and Mrs Bate and three other teachers were there.,"adjective, pronoun",A1
out,away from the inside of a place or thing,ngoài; ở ngoài; ra ngoài,/aʊt/,away from the inside of a place or thing,She ran out into the corridor.,"adverb, preposition",A1
outside,"not in a room, building or container but on or to the outside of it",bề ngoài; bên ngoài,/ˌaʊtˈsaɪd/,"not in a room, building or container but on or to the outside of it",I'm seeing a patient - please wait outside.,adverb,A1
over,resting on the surface of somebody/something and partly or completely covering them/it,"bên trên, lên trên",/ˈəʊvə(r)/,resting on the surface of somebody/something and partly or completely covering them/it,She put a blanket over the sleeping child.,preposition,A1
own,used to emphasize that something belongs to or is connected with somebody,"của chính mình, của riêng mình, tự mình",/əʊn/,used to emphasize that something belongs to or is connected with somebody,It was her own idea.,"adjective, pronoun",A1
page,"one side or both sides of a sheet of paper in a book, magazine, etc.",trang (sách...),/peɪdʒ/,"one side or both sides of a sheet of paper in a book, magazine, etc.",I need to bookmark this page for future reference.,noun,A1
paint,a liquid that is put on surfaces to give them a particular colour; a layer of this liquid when it has dried on a surface,"sơn, tô màu",/peɪnt/,a liquid that is put on surfaces to give them a particular colour; a layer of this liquid when it has dried on a surface,I'm going to paint my room a pale blue color.,verb,A1
painting,a picture that has been painted,"bức họa, bức tranh",/ˈpeɪntɪŋ/,a picture that has been painted,The painting on the wall adds a pop of color to the room.,noun,A1
pair,"two things of the same type, especially when they are used or worn together","đôi, cặp",/peə(r)/,"two things of the same type, especially when they are used or worn together",I need to buy a new pair of shoes for the party tonight.,noun,A1
paper,the thin material that you write and draw on and that is also used for wrapping and packing things,giấy,/ˈpeɪpə(r)/,the thin material that you write and draw on and that is also used for wrapping and packing things,I need to print out a document on paper for my meeting tomorrow.,noun,A1
paragraph,"a section of a piece of writing, usually consisting of several sentences dealing with a single subject","đoạn, đoạn văn",/ˈpærəɡrɑːf/,"a section of a piece of writing, usually consisting of several sentences dealing with a single subject",Please write a paragraph explaining your opinion on the topic.,noun,A1
parent,a person’s father or mother,"bố, mẹ",/ˈpeərənt/,a person’s father or mother,He's still living with his parents.,noun,A1
park,"an area of public land in a town or a city where people go to walk, play and relax",công viên; vườn hoa,/pɑːk/,"an area of public land in a town or a city where people go to walk, play and relax",Let's go for a walk in the park this afternoon.,noun,A1
part,some but not all of a thing,phần; bộ phận,/pɑːt/,some but not all of a thing,We spent part of the time in the museum.,noun,A1
partner,"a person that you are doing an activity with, such as dancing or playing a game",người chung phần; cộng sự; đối tác,/ˈpɑːtnə(r)/,"a person that you are doing an activity with, such as dancing or playing a game",I'm going to meet my partner for dinner tonight.,noun,A1
party,"a social occasion, often in a person’s home, at which people eat, drink, talk, dance and enjoy themselves",tiệc; buổi liên hoan,/ˈpɑːti/,"a social occasion, often in a person’s home, at which people eat, drink, talk, dance and enjoy themselves",The party was a lot of fun last night.,noun,A1
passport,"an official document that identifies you as a citizen of a particular country, and that you may have to show when you enter or leave a country",hộ chiếu,/ˈpɑːspɔːt/,"an official document that identifies you as a citizen of a particular country, and that you may have to show when you enter or leave a country",I need to renew my passport before my trip next month.,noun,A1
past,gone by in time,"quá khứ, dĩ vãng; đã đi qua trong thời gian",/pɑːst/,gone by in time,"We can't change the past, but we can learn from it.",adjective,A1
pay,"to give somebody money for work, goods, services, etc.","trả tiền, thanh toán",/peɪ/,"to give somebody money for work, goods, services, etc.",I need to pay my rent by the end of the week.,verb,A1
pen,"an instrument made of plastic or metal used for writing with ink (= coloured liquid for writing, etc.)","bút, cây viết",/pen/,"an instrument made of plastic or metal used for writing with ink (= coloured liquid for writing, etc.)",I always keep a pen in my bag for taking notes.,noun,A1
pencil,"a narrow piece of wood, or a metal or plastic case, containing a black or coloured substance, used for drawing or writing","bút chì, viết chì",/ˈpensl/,"a narrow piece of wood, or a metal or plastic case, containing a black or coloured substance, used for drawing or writing",I'll get a pencil and paper.,noun,A1
people,"human beings; men, women and children",(số nhiều) người,/ˈpiːpl/,"human beings; men, women and children",There were a lot of people at the concert last night.,noun,A1
pepper,"a powder made from dried berries (called peppercorns), used to give a hot, spicy taste to food","hạt tiêu, hồ tiêu",/ˈpepə(r)/,"a powder made from dried berries (called peppercorns), used to give a hot, spicy taste to food",I like to add black pepper to my scrambled eggs.,noun,A1
perfect,excellent; very good,hoàn hảo; hoàn toàn; tuyệt,/ˈpɜːfɪkt/,excellent; very good,The weather today is absolutely perfect.,adjective,A1
period,a particular length of time,"kỳ, thời kỳ, giai đoạn, thời gian",/ˈpɪəriəd/,a particular length of time,The Renaissance was a period of great cultural and artistic achievement.,noun,A1
person,a human as an individual,người,/ˈpɜːsn/,a human as an individual,What sort of person would do a thing like that?,noun,A1
personal,your own; not belonging to or connected with anyone else,(thuộc) cá nhân; riêng tư,/ˈpɜːsənl/,your own; not belonging to or connected with anyone else,The novel is written from personal experience.,adjective,A1
phone,a piece of equipment for talking to people who are not in the same place as you,điện thoại,/fəʊn/,a piece of equipment for talking to people who are not in the same place as you,I need to charge my phone before it dies.,noun,A1
photo,a picture that is made by using a camera that stores images in digital form or that has a film sensitive to light inside it,"ảnh, bức ảnh",/ˈfəʊtəʊ/,a picture that is made by using a camera that stores images in digital form or that has a film sensitive to light inside it,I took a photo of the beautiful sunset.,noun,A1
photograph,a picture that is made by using a camera that stores images in digital form or that has a film sensitive to light inside it,"ảnh, bức hình",/ˈfəʊtəɡrɑːf/,a picture that is made by using a camera that stores images in digital form or that has a film sensitive to light inside it,This photograph brings back so many happy memories.,noun,A1
phrase,a group of words that have a particular meaning when used together,"nhóm từ, cụm từ",/freɪz/,a group of words that have a particular meaning when used together,I'm having trouble coming up with a catchy phrase for this ad campaign.,noun,A1
piano,a large musical instrument played by pressing the black and white keys on the keyboard. The sound is produced by small hammers hitting the metal strings inside the piano.,"đàn pianô, dương cầm",/piˈænəʊ/,a large musical instrument played by pressing the black and white keys on the keyboard. The sound is produced by small hammers hitting the metal strings inside the piano.,She played the piano beautifully at the concert.,noun,A1
picture,"a painting or drawing, etc. that shows a scene, a person or thing","bức tranh, bức vẽ, hình ảnh",/ˈpɪktʃə(r)/,"a painting or drawing, etc. that shows a scene, a person or thing",He likes books with lots of pictures in them.,noun,A1
piece,an amount of something that has been cut or separated from the rest of it; a standard amount of something,"bộ phận, mảnh, mẩu, miếng,...",/piːs/,an amount of something that has been cut or separated from the rest of it; a standard amount of something,She wrote something on a small piece of paper.,noun,A1
pig,"an animal with pink, black or brown skin, short legs, a broad nose and a short curly tail. Pigs are kept on farms for their meat (called pork) or live in the wild.","lợn, heo",/pɪɡ/,"an animal with pink, black or brown skin, short legs, a broad nose and a short curly tail. Pigs are kept on farms for their meat (called pork) or live in the wild.",The farmer raised pigs on his farm.,noun,A1
pink,pale red in colour,màu hồng,/pɪŋk/,pale red in colour,I like this pink dress.,adjective,A1
place,"a particular position, point or area","nơi, chỗ",/pleɪs/,"a particular position, point or area",Keep your purse in a safe place.,noun,A1
plan,something that you intend to do or achieve,"kế hoạch; dự kiến, dự định",/plæn/,something that you intend to do or achieve,Do you have any plans for the summer?,noun,A1
plant,"a living thing that grows in the earth and usually has a stem, leaves and roots, especially one that is smaller than a tree or bush",thực vật,/plɑːnt/,"a living thing that grows in the earth and usually has a stem, leaves and roots, especially one that is smaller than a tree or bush",All plants need light and water.,noun,A1
play,"to do things for pleasure, as children do; to enjoy yourself, rather than work","chơi, nô đùa, đùa giỡn",/pleɪ/,"to do things for pleasure, as children do; to enjoy yourself, rather than work",You'll have to play inside today.,verb,A1
player,a person who takes part in a game or sport,người chơi; cầu thủ; đấu thủ,/ˈpleɪə(r)/,a person who takes part in a game or sport,My favorite soccer player just scored a goal!,noun,A1
please,used as a polite way of asking for something or telling somebody to do something,"làm ơn, vui lòng làm gì",/pliːz/,used as a polite way of asking for something or telling somebody to do something,Please sit down.,exclamation,A1
point,"to indicate or direct attention to something, or to sharpen the end of an object","chỉ ra, chỉ hướng",/pɔɪnt/,"to indicate or direct attention to something, or to sharpen the end of an object",Could you please point me in the direction of the nearest gas station?,verb,A1
police,an official organization whose job is to make people obey the law and to prevent and solve crime; the people who work for this organization,"cảnh sát, công an",/pəˈliːs/,an official organization whose job is to make people obey the law and to prevent and solve crime; the people who work for this organization,Get out of the house or I'll call the police.,noun,A1
policeman,a male police officer,"cảnh sát nam, công an",/pəˈliːsmən/,a male police officer,The police are investigating the burglary that happened last night.,noun,A1
pool,an area of water that has been created for people to swim in,"bể bơi, hồ bơi",/puːl/,an area of water that has been created for people to swim in,Let's go for a swim in the pool to cool off.,noun,A1
poor,having very little money; not having enough money for basic needs,nghèo,/pɔː(r)/ /pʊə(r)/,having very little money; not having enough money for basic needs,They were too poor to buy shoes for the kids.,adjective,A1
popular,liked or enjoyed by a large number of people,"được nhiều người ưa thích, phổ biến, nổi tiếng",/ˈpɒpjələ(r)/,liked or enjoyed by a large number of people,Andalucia is a popular tourist destination.,adjective,A1
positive,good or useful,"tích cực, khả quan",/ˈpɒzətɪv/,good or useful,The tests have so far yielded positive results.,adjective,A1
possible,that can be done or achieved,có thể ; có thể được; có khả năng xảy ra; khả thi,/ˈpɒsəbl/,that can be done or achieved,New technology has made it possible to communicate more easily.,adjective,A1
post,"letters, etc. that are delivered to homes or places of work","thư, bưu kiện, bưu điện",/pəʊst/,"letters, etc. that are delivered to homes or places of work",I'd been away for a few days so I had a lot of post waiting for me.,noun,A2
potato,a round white vegetable with a brown or red skin that grows underground as the root of a plant also called a potato,khoai tây,/pəˈteɪtəʊ/,a round white vegetable with a brown or red skin that grows underground as the root of a plant also called a potato,Will you peel the potatoes for me?,noun,A1
pound,the standard unit of money used in the UK and some other countries,"đồng bảng Anh, pao",/paʊnd/,the standard unit of money used in the UK and some other countries,"They stole jewellery valued at 50,000 pounds.",noun,B1
practice,doing an activity or training regularly so that you can improve your skill; the time you spend doing this,"sự rèn luyện, sự luyện tập; thời gian tập luyện",/ˈpræktɪs/,doing an activity or training regularly so that you can improve your skill; the time you spend doing this,"If you want to get better at playing the guitar, you need to practice every day.",noun,A1
practise,to do an activity or train regularly so that you can improve your skill,"luyện tập, tập",/ˈpræktɪs/,to do an activity or train regularly so that you can improve your skill,You need to practise every day.,verb,A1
prefer,to like one thing or person better than another; to choose one thing rather than something else because you like it better,"thích hơn, ưa hơn",/prɪˈfɜː(r)/,to like one thing or person better than another; to choose one thing rather than something else because you like it better,"‘Coffee or tea?’ ‘I'd prefer tea, thanks.’",verb,A1
prepare,to make something or somebody ready to be used or to do something,"sửa soạn, chuẩn bị",/prɪˈpeə(r)/,to make something or somebody ready to be used or to do something,I need to prepare dinner before my guests arrive.,verb,A1
present,existing or happening now,"hiện nay, hiện tại, hiện thời",/ˈpreznt/,existing or happening now,I am not satisfied with the present situation.,adjective,A1
pretty,"pleasant to look at, or (especially of girls or women or things relating to them) attractive or pleasant in a delicate way","đẹp, xinh đẹp",/ˈprɪti/,"pleasant to look at, or (especially of girls or women or things relating to them) attractive or pleasant in a delicate way",That's a pretty hat you're wearing.,adjective,A1
price,the amount of money that you have to pay for something,"giá, giá cả",/praɪs/,the amount of money that you have to pay for something,The price of gas has gone up again.,noun,A1
probably,used to say that something is likely to happen or to be true,"chắc hẳn, có thể, có lẽ",/ˈprɒbəbli/,used to say that something is likely to happen or to be true,You're probably right.,adverb,A1
problem,a thing that is difficult to deal with or to understand,vấn đề,/ˈprɒbləm/,a thing that is difficult to deal with or to understand,We need to find a solution to this problem before it gets worse.,noun,A1
product,"a thing that is grown, produced or created, usually for sale","sản phẩm, sản vật",/ˈprɒdʌkt/,"a thing that is grown, produced or created, usually for sale",I need to order more of this product before we run out.,noun,A1
programme,something that people watch on television or listen to on the radio,chương trình,/ˈprəʊɡræm/,something that people watch on television or listen to on the radio,The new television programme promises thrilling mysteries and captivating plot twists.,noun,A1
project,"a piece of work involving careful study of a subject over a period of time, done by school or college students","dự án; đề án, kế hoạch; công trình (nghiên cứu)",/ˈprɒdʒekt/,"a piece of work involving careful study of a subject over a period of time, done by school or college students",We're starting a new project next week that will require a lot of teamwork.,noun,A1
purple,having the colour of blue and red mixed together,màu tím,/ˈpɜːpl/,having the colour of blue and red mixed together,Her favorite color is purple.,adjective,A1
put,to move something into a particular place or position,"đặt, để",/pʊt/,to move something into a particular place or position,"Put the cases down there, please.",verb,A1
quarter,one of four equal parts of something,một phần tư,/ˈkwɔːtə(r)/,one of four equal parts of something,He cut the orange into quarters.,noun,A1
question,"a sentence, phrase or word that asks for information",câu hỏi,/ˈkwestʃən/,"a sentence, phrase or word that asks for information",You didn't answer my question.,noun,A1
quick,done with speed; taking or lasting a short time,"nhanh, mau, lẹ",/kwɪk/,done with speed; taking or lasting a short time,I need a quick answer to this question.,adjective,A1
quickly,fast,"một cách nhanh chóng, một cách mau lẹ",/ˈkwɪkli/,fast,She walked quickly away.,adverb,A1
quiet,making very little noise,"yên lặng, yên tĩnh, êm ả",/ˈkwaɪət/,making very little noise,I prefer to work in a quiet environment.,adjective,A1
quite,to some degree,khá là,/kwaɪt/,to some degree,The movie was quite entertaining.,adverb,A1
radio,a piece of equipment used for listening to programmes that are broadcast to the public,đài phát thanh,/ˈreɪdiəʊ/,a piece of equipment used for listening to programmes that are broadcast to the public,The play was written specially for radio.,noun,A1
rain,water that falls from the sky in separate drops,mưa,/reɪn/,water that falls from the sky in separate drops,There will be rain in all parts tomorrow.,noun,A1
read,to look at and understand the meaning of written or printed words or symbols,đọc,/riːd/,to look at and understand the meaning of written or printed words or symbols,She's still learning to read.,verb,A1
